 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3040.0,Northwest Montessori Pty Ltd ATF Northwest Montessori Operating Trust,ESSENDON,Northwest Montessori Preschool,1262,144.912,-37.749
3040.0,Lowther Hall Anglican Grammar School,ESSENDON,Lowther Hall Anglican Grammar School,1263,144.912,-37.749
3204.0,Bentleigh West Kindergarten Inc,PATTERSON,Bentleigh West Kindergarten ,1271,145.0355118,-37.9250991
3172.0,Triple G Investments Pty Ltd ATF Hewagama Family Trust,DINGLEY VILLAGE,Beacon House Montessori Centre,1277,145.128,-37.981
3002.0,East Melbourne Child Care Co-op Ltd,EAST MELBOURNE,CNR GREY ST & SIMPSON ST ,1282,144.9804594,-37.8161444
3197.0,Rene Anderson Kindergarten Inc,PATTERSON LAKES,Rene Anderson Kindergarten ,1305,145.1431018,-38.0742262
3197.0,Patterson Lakes Kindergarten Centre Inc,PATTERSON LAKES,Patterson Lakes Kindergarten Centre ,1306,145.1431018,-38.0742262
3102.0,Kew East Primary School,KEW EAST,35 KITCHENER STREET ,1315,145.0548502,-37.7922797
3132.0,MONTESSORI EARLY EDUCATION CENTRE INC,MITCHAM NORTH,MONTESSORI EARLY EDUCATION CENTRE,1320,145.1983055,-37.8219905
3809.0,SNC EDUCATION AND CARE SERVICES PTY. LTD.,OFFICER,20 CRANBROOK CCT ,1327,145.408889,-38.058056
3809.0,St Clare's Early Learning Centre,OFFICER,St Clare's Early Learning Centre,1328,145.408889,-38.058056
3061.0,RAPIZA PTY LTD,CAMPBELLFIELD,ARA ADVANCED FAMILY DAY CARE AND CONSULTING SERVICES,1337,144.955677,-37.665113
3072.0,Kids Family Day Care Pty Ltd,NORTHLAND CENTRE,KIDS FAMILY DAY CARE,1391,145.0286638,-37.7393975
3183.0,St Kilda Steiner Kindergarten Inc,BALACLAVA,St Kilda Steiner Kindergarten ,1419,144.993,-37.873
3183.0,Tevelle Pty. Ltd.,BALACLAVA,61 BALACLAVA ROAD ,1420,144.993,-37.873
